Sample_name,image_url,image_url2,image_url3,latitude,longitude,elevation_approx,notes,Traverse,rock_type,rock_description,original_dms,original_elevation,nm_notes
VF-1,https://uofi.box.com/s/k2gezxd6cxisfpq5d9bq2azln0u6sb7a,https://uofi.box.com/s/tntzpens4kv8ce6s5u3gjkc03q5utdlv,,-50.95638889,-73.05833333,1180,,North Wall Mafic Traverse,Granite,Typical Granite,"*50°57'23.0""S  73°03'30.0""W",*1180,
VF-2,https://uofi.box.com/s/blzznjij87ktfhjlwensgbt0sprkok19,,,-50.95638889,-73.05833333,1180,,North Wall Mafic Traverse,Diorite,Homogenous Diorite,"""","""",
VF-3,https://uofi.box.com/s/24xf9yq958ul1vp23ky5cj7jopv95ddm,,,-50.95638889,-73.05833333,1180,,North Wall Mafic Traverse,Diorite,Homogenous Diorite,"""","""",
VF-4,https://uofi.box.com/s/hq2zt6g9ltxwkn2xl3m5joow12cgq1o1,,,-50.95638889,-73.05833333,1180,,North Wall Mafic Traverse,Diorite,Mix Zone Diorite,"""",:,
VF-6,https://uofi.box.com/s/yf3cr323sz6nyqbaycs9hztpfg6deg3g,,,-50.95866667,-73.06011111,1046,,North Wall Mafic Traverse,Diorite,Elongate Hornblendes,"50°57'31.2""S  73°03'36.4""W",*1046,
VF-7,https://uofi.box.com/s/buvg2w1555pftjas6nmebwvf1wktreb5,,,-50.95880556,-73.06044444,1044,,North Wall Mafic Traverse,Diorite,Homogenous Diorite,"50°57'31.7""S  73°03'37.6""W",*1044,
VF-8,https://uofi.box.com/s/rl656j3tliiyii3u3phhs7slu1jxi5mm,,,-50.95891667,-73.06061111,1042,,North Wall Mafic Traverse,Diorite,Mix Zone Diorite,"50°57'32.1""S  73°03'38.2""W",*1042,
VF-9,https://uofi.box.com/s/y7qro53e782j59a2lvn9hxaz30h0qzqs,,,-50.95902778,-73.06086111,1042,,North Wall Mafic Traverse,Gabbro,Homogenous Diorite,"50°57'32.5""S  73°03'39.1""W",*1042,
VF-10,https://uofi.box.com/s/3xgd28ndu86hn51mxr8tyht3ovnw6mps,,,-50.96008333,-73.06561111,944,,North Wall Mafic Traverse,Gabbro,Mix Zone Diorite,"50°57'36.3""S  73°03'56.2""W",944,
VF-11,https://uofi.box.com/s/h013g86v01z6q3ge6kion9byosfkhdjd,,,-50.95916667,-73.06502778,1007,,North Wall Mafic Traverse,Gabbro,Homogenous Diorite,"50°57'33.0""S  73°03'54.1""W",1007,
VF-12,https://uofi.box.com/s/7qrxf46b42rb7874egejvri33kczp7gv,,,-50.95991667,-73.06594444,1011,,North Wall Mafic Traverse,Gabbro,Homogenous Diorite,"50°57'35.7""S  73°03'57.4""W",1011,
VF-13,https://uofi.box.com/s/23umo35mcuh7h8phzxm397fycai38479,https://uofi.box.com/s/knr2xe52rjg16t9vptph4635is6k3is2,https://uofi.box.com/s/nqz3ojtp9dnszupek5wvyfusxoszhdwr,-50.95997222,-73.06608333,1011,,North Wall Mafic Traverse,Gabbro,Gabbro Felsite Wall Contact,"50°57'35.9""S  73°03'57.9""W",1011,
VF-14,https://uofi.box.com/s/sjzjaprzbccvhfsbka6galxjbfjq3sna,,,-50.95966667,-73.06616667,1029,,North Wall Mafic Traverse,Gabbro,Homogenous Gabbro Weathers Easily,"50°57'34.8""S  73°03'58.2""W",1029,
VF-15,https://uofi.box.com/s/cpwlok47fi6dnq27nwws5ujo9fg7wewz,,,-50.95947222,-73.06622222,1020,,North Wall Mafic Traverse,Gabbro,Homogenous Gabbro,"50°57'34.1""S  73°03'58.4""W",*1020,
VF-16,https://uofi.box.com/s/u6yhphtp90zszjdrsntzo126a6t90g1a,,,-50.95930556,-73.06627778,1020,,North Wall Mafic Traverse,Diorite,Homogenous Diorite,"50°57'33.5""S  73°03'58.6""W",*1020,
VF-17,https://uofi.box.com/s/g4bd3pdpfp0mdwgu2cz6xayq98kt8mm2,,,-50.95875,-73.06897222,1023,,North Wall Mafic Traverse,Diorite,Diorite With Large Hornblende Crystals,"50°57'31.5""S  73°04'08.3""W",1023,
GMT-1,,,,-50.95666667,-73.06666667,1120,,Northern Granite Mafic Traverse,Granite,Typical Granite,"50°57'24.0""S  73°04'00.0""W",*1120,
GMT-2,https://uofi.box.com/s/fibu9h9mj6y3uly1ps2ilgit2z4pte7q,,,-50.95705556,-73.06719444,1100,,Northern Granite Mafic Traverse,Granite,Typical Granite,"50°57'25.4""S  73°04'01.9""W",1100,
GMT-3,https://uofi.box.com/s/24bi06l9mh5ubvzr7i0ydgrceqn9b58c,,,-50.95722222,-73.06763889,1088,,Northern Granite Mafic Traverse,Granite,Typical Granite Next To GMT-4 Diorite,"50°57'26.0""S  73°04'03.5""W",1088,
GMT-4,,,,-50.95736111,-73.06786111,1080,,Northern Granite Mafic Traverse,Diorite,Diorite Pod In Granite,"50°57'26.5""S  73°04'04.3""W",1080,
GMT-5,,,,-50.95738889,-73.06802778,1060,,Northern Granite Mafic Traverse,Gabbro,Gabbro With Cross Cutting Felsic Vein ,"50°57'26.6""S  73°04'04.9""W",1060,
TB-1,https://uofi.box.com/s/33lagitn30mu7ajbs44968w058h939g1,,,-50.968,-73.0755,1060,,Tiburon Mafic Traverse,Diorite,Homogenous Diorite,"*50°58'04.8""S  73°04'31.8""W",*1060,
TB-2,https://uofi.box.com/s/m9osaefkk9ul1gl6hxjejjn7qjeovugx,https://uofi.box.com/s/fd94oqkxthqxv24cddpxm8zpxs5zp17u,,-50.968,-73.0755,,,Tiburon Mafic Traverse,Granite,Top Of Felsite (3m thick),"""",,
TB-3,https://uofi.box.com/s/b6sosqgartspmdi6bgj61ijynjeehk57,,,-50.968,-73.0755,,,Tiburon Mafic Traverse,Granite,Bottom of the Felsite (3m thick),"""",,
TB-4,https://uofi.box.com/s/y20sufdd4ori5b104m0ybj95vi7u3205,https://uofi.box.com/s/e949re5ohuwfy8p5tyqhnxh85sqv0eko,https://uofi.box.com/s/5ptey2i0k774k95zcjnhngvamls71grm,-50.968,-73.0755,,,Tiburon Mafic Traverse,Granite/Diorite,Bottom of Vein Plus Underlying Diorite,"""",,
TB-4 Dike,https://uofi.box.com/s/hn5vcsycdf5bjh823w3snao3t24ji8ha,,,-50.968,-73.0755,,,Tiburon Mafic Traverse,Basalt,Basaltic Dike,"""",,
TB-5,https://uofi.box.com/s/fiih2k3q112sqjo2yyacjynv8z6uwjmb,https://uofi.box.com/s/r8v8pz4uprgwg43g6u88l05qxonacrka,,-50.968,-73.0755,,,Tiburon Mafic Traverse,DIorite,Homogenous Diorite,"""",,
TB-6,https://uofi.box.com/s/0fj8njnkqggz2xhv1g8bqrhozoerwits,,,-50.96811111,-73.07547222,1045,,Tiburon Mafic Traverse,DIorite,Homogenous Diorite,"50°58'05.2""S  73°04'31.7""W",1045,
TB-7,https://uofi.box.com/s/u36g5udk1q16micmdqj4exl2z3g8rj49,,,-50.96811111,-73.07547222,1045,10m above T2-1,Tiburon Mafic Traverse,DIorite,Mix Zone Diorite,"""","""",
TB-8,https://uofi.box.com/s/7dqjpnnpd2694b0u75bfwjptdmkxp3o8,,,-50.96811111,-73.07547222,1045,8m above T2-1,Tiburon Mafic Traverse,DIorite,Homogenous Diorite,"""","""",
TB-9,https://uofi.box.com/s/pirfpkf30y92r3fmbutzembl7l308xc9,,,-50.96975,-73.07569444,1020,,Tiburon Mafic Traverse,DIorite,Homogenous Diorite,"50°58'11.1""S  73°04'32.5""W",*1020,
ST-1,https://uofi.box.com/s/76d4t33xd6tqsa6l3n6oeo2a9mj2xln8,,,-50.96575,-73.07752778,1113,,Tiburon Mafic Felsic Tongue Traverse,Diorite/Granite,Contact Sample Felsite and Underlying Diorite,"50°57'56.7""S  73°04'39.1""W",1113,
ST-2,https://uofi.box.com/s/apevn0nqbcdjg38xb4tdyfy83rp6rm8g,,,-50.96638889,-73.07711111,1109,,Tiburon Mafic Felsic Tongue Traverse,Diorite,Homogenous Diorite,"50°57'59.0""S  73°04'37.6""W",1109,
ST-3,https://uofi.box.com/s/rcw4jxu4l5v914whnx62p1fdmfcbs00e,,,-50.96602778,-73.07733333,1106,,Tiburon Mafic Felsic Tongue Traverse,Diorite,Homogenous Diorite,"50°57'57.7""S  73°04'38.4""W",1106,
ST-4,https://uofi.box.com/s/4iels4zixoajkwr2te757f8ysnp2swgb,,,-50.96575,-73.07752778,1113,,Tiburon Mafic Felsic Tongue Traverse,Granite,Feslsite,"50°57'56.7""S  73°04'39.1""W",1113,
ST-5,https://uofi.box.com/s/o1u6cdr71cjwvisgry3smfm4sdammd6n,,,-50.9655,-73.07791667,1119,,Tiburon Mafic Felsic Tongue Traverse,Gabbro,Homogenous Gabbro Directly Below Felsite,"50°57'55.8""S  73°04'40.5""W",1119,
ST-6,https://uofi.box.com/s/1b5bgzpf3vu5enz3pnmijb6kcxlhslo1,,,-50.96513889,-73.07802778,1099,,Tiburon Mafic Felsic Tongue Traverse,Granite,Homogenous Granite,"50°57'54.5""S  73°04'40.9""W",1099,
ST-7,https://uofi.box.com/s/esvpajfwc06foy7e14sj0rozvpot95be,https://uofi.box.com/s/6vxjm720s20sc1nc1g0hs6t100tv9ww1,,-50.96513889,-73.07794444,1116,,Tiburon Mafic Felsic Tongue Traverse,Diorite,Diorite with Felsic Veins,"50°57'54.5""S  73°04'40.6""W",1116,
C-1,https://uofi.box.com/s/qouc3x71f0pbog6flcrwbljnyf7gcrhp,,,-50.97694444,-73.10177778,1260,4 meters above contact,Castillo Mega Transect,Layered Diorite,Homogenous Diorite,"50°58'37.0""S  73°06'06.4""W",1260,
C-2,https://uofi.box.com/s/d7tpq45fhrqk6h1vllj5jtgco49zeqay,,,-50.97694444,-73.10177778,1260,3m above contact,Castillo Mega Transect,Layered Diorite,Homogenous Diorite,"""","""",
C-3,https://uofi.box.com/s/cwxbkg0n0tbcyztndb1lkgk7eik9ate4,,,-50.97694444,-73.10177778,1258.5,1.5m above contact,Castillo Mega Transect,Layered Diorite,Homogenous Diorite,"""","""",
C-4,https://uofi.box.com/s/1x4tlf7ii06xgpkecf233kmqweu7y85l,,,-50.97694444,-73.10177778,1257.5,.5m above contact,Castillo Mega Transect,Layered Diorite,Homogenous Diorite,"""","""",
C-5,https://uofi.box.com/s/emyoozyucfpv0ppmioiktbkqvp7cmjis,,,-50.97722222,-73.10147222,1257,contact ,Castillo Mega Transect,Layered Diorite Upper Hornblende Gabbro,Contact Between The Two Units,"50°58'38.0""S  73°06'05.3""W",1257,
C-6,https://uofi.box.com/s/28isqitn2cd01ve8bc5p4fwqcs28ii0q,,,-50.97722222,-73.10147222,1256.95,5 cm below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-7,https://uofi.box.com/s/0ja0t1zqe2qp3m6maxc1evf3stddn9u2,,,-50.97722222,-73.10147222,1256.7,.3m below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
C-8,https://uofi.box.com/s/zhkkdbfet2e4t8al4zv476srg9iersxa,,,-50.97722222,-73.10147222,1254.5,1.5m below contact,Castillo Mega Transect,Upper Hornblnde Gabbro,Homogenous Gabbro,"""","""",
